concept,category,domain,hit_visual,hit_lexical,far_lexical,far_visual,Energy,JPEG_size,PNWS,H,S,V,layer3,layer6,layer8,coca_frequency,name_agreement,NoF_noTax,CS,MD,CSxD
wagon wheel,vehicle,nonliving,0.4,0.488372,0.444444444,0.122807018,10,10931,0.41772,0.14086,0.21724,88.9743,0.91275,1.3758,1.7774,18296,0.291666667,42,0.15122,0.082616754,1.869229323
walker,tool,nonliving,0.62069,0.62963,0.321428571,0.28,24,7537,0.26511,0.1408,0.21711,88.9397,0.91614,1.8295,2.1691,1790,0.791666667,35,0.14241,0.057902653,1.460407348
walkietalkie,electronics,nonliving,0.37931,0.464286,0.321428571,0.24,8,4453,0.14527,0.1407,0.21691,88.8662,1.285,1.9348,1.8831,11,1,45,0.1527,0.091825119,1.709061565
walkman,electronics,nonliving,0.367347,0.576923,0.407407407,0.137931034,4,10086,0.78216,0.14084,0.21674,88.8948,1.1069,1.4796,1.4502,381,0.47826087,37,0.15259,0.062709242,1.057243384
washboard,tool,nonliving,0.367347,0.371429,0.516129032,0.314285714,16,9332,0.44256,0.14079,0.21671,88.9025,1.0375,1.5744,2.1031,203,0.333333333,44,0.13617,0.090722583,1.349528585
washing machine,appliances,nonliving,0.48,0.457143,0.433333333,0.416666667,6,6182,0.57688,0.14092,0.21668,88.9447,1.0951,1.5464,1.6378,690,0.916666667,54,0.13827,0.075973853,1.888079176
wasp,insect,living,0.82,0.678571,0.642857143,0.333333333,7,7657,0.57171,0.14086,0.21695,88.9902,0.96096,1.5148,1.9963,1146,0.68,30,0.14886,0.083282088,2.209469633
wastebasket,furniture,nonliving,0.74,0.482759,NA,0.166666667,6,19759,0.64832,0.14092,0.21684,89.0213,1.0538,1.4084,2.1342,367,0.291666667,40,0.16325,0.089425819,1.408435234
water fountain,street items,nonliving,0.571429,0.555556,0.407407407,0.178571429,10,20781,0.64341,0.14091,0.21672,89.0452,1.1728,1.678,2.0395,179,0.958333333,39,0.19116,0.135945097,1.70754966
water gun,toys,nonliving,0.571429,0.740741,0.285714286,0.270833333,4,6767,0.309,0.14083,0.21679,89.0269,1.0096,1.5589,1.8755,17,0.708333333,33,0.15349,0.062170392,1.116243665
waterjug,kitchen items,nonliving,0.48,0.457143,0.482758621,0.25,13,8025,0.45183,0.14091,0.21669,89.038,0.96624,1.506,1.7369,1,0.5,40,0.13686,0.10197394,2.261118553
watermelon,fruit,living,0.74,0.771429,0.466666667,0.388888889,3,10781,1,0.14103,0.21673,89.185,1.0544,1.3896,1.6305,1293,1,40,0.17112,0.081246003,1.4185301
wedding cake,food,nonliving,0.612245,0.714286,0.322580645,0.142857143,12,9072,0.32962,0.14106,0.21657,89.1603,1.1745,1.6538,1.8857,322,1,39,0.18402,0.110698541,1.853291714
weight bench,sports,nonliving,0.545455,0.466667,0.407407407,0.160714286,10,9019,0.39244,0.14109,0.21653,89.1299,0.72436,1.5506,1.7432,27,0.625,43,0.13479,0.094342181,1.885719837
wetsuit,clothing,nonliving,0.326531,0.4,0.366666667,0.114285714,4,7032,0.28994,0.1411,0.21641,89.0787,1.0527,1.7648,2.1415,123,0.625,53,0.16359,0.116025379,1.640379962
wheat,plant,living,0.5,0.6,0.307692308,0.24,29,18350,0.75458,0.14106,0.2167,89.1174,1.0444,1.6838,2.2739,5730,0.416666667,46,0.16266,0.116216277,2.003124889
wheelbarrow,tool,nonliving,0.607143,0.64,0.392857143,0.52,9,8744,0.63321,0.1411,0.21672,89.166,0.84904,1.3598,1.7097,565,0.833333333,38,0.18052,0.116144906,1.951890324
wheelchair,vehicle,nonliving,0.48,0.571429,0.535714286,0.392857143,11,16464,0.52901,0.14119,0.21663,89.172,0.88694,1.3069,1.7088,5670,1,40,0.15352,0.074320422,1.456075704
whip,military,nonliving,0.666667,0.311111,0.44,0.236363636,11,11197,0.37792,0.14114,0.21668,89.1552,0.87514,1.3932,1.852,2442,0.916666667,32,0.14494,0.064521752,1.318607777
whistle,tool,nonliving,0.697674,0.571429,0.4,0.089285714,13,7868,0.53793,0.14117,0.2166,89.1867,0.96369,1.694,1.5026,3207,0.916666667,34,0.16307,0.10078852,1.963464263
windmill,building,nonliving,0.422222,0.590909,0.37037037,0.036363636,20,15722,0.41718,0.14124,0.21648,89.166,0.96642,1.4746,1.9195,961,0.916666667,45,0.13606,0.096656077,1.606148861
window,house parts,nonliving,0.86,0.533333,NA,0.25,12,9291,0.75999,0.1413,0.21646,89.2477,0.98091,1.9223,2.7106,68303,0.916666667,35,0.18579,0.113528143,1.800316544
wine,food,nonliving,0.618182,0.692308,0.454545455,0.302325581,3,5341,0.3173,0.14125,0.21626,89.1737,1.0772,1.5566,1.8367,26682,0.833333333,35,0.1882,0.120242952,2.082493726
wine bottle,food,nonliving,0.481481,0.72,0.568181818,0.272727273,5,7725,0.26011,0.14122,0.2164,89.2019,1.1765,1.5596,1.8466,176,0.916666667,33,0.17029,0.099084295,2.13661502
wine rack,furniture,nonliving,0.314286,0.612903,0.485714286,0.183673469,9,10959,0.6028,0.14126,0.21614,89.2055,1.0135,1.4177,2.0697,38,0.666666667,41,0.13397,0.071278182,2.003956792
wire,tool,nonliving,0.510204,0.428571,0.516129032,0.257142857,48,22072,0.6868,0.14121,0.21617,89.2322,0.87608,1.2518,1.9066,14310,0.347826087,47,0.14953,0.114245519,1.923104386
wolf,mammal,living,0.875,0.678571,0.666666667,0.714285714,5,9376,0.42227,0.14112,0.21611,89.224,1.1107,1.3981,1.7117,6718,0.666666667,44,0.17738,0.083423134,2.252043518
women's hat,clothing,nonliving,0.2,0.296296296,0.288888889,0.136363636,17,21789,0.69722,0.14121,0.21625,89.2007,0.94907,1.2961,1.7745,18198,0.958333333,94,0.15153,0.08834418,1.547436799
wooden fence,street items,living,0.36,0.37037,0.571428571,0.24137931,15,8398,0.61287,0.14122,0.21611,89.2343,1.0041,1.5479,2.0248,109,0.166666667,36,0.1568,0.124414506,2.218894899
woodpecker,birds,living,0.857143,0.777778,0.444444444,0.408163265,3,9515,0.74034,0.14133,0.21599,89.2905,1.0042,1.6257,2.172,595,0.5,30,0.1846,0.088177913,2.180888509
wreath,holiday,nonliving,0.653061,0.275862,NA,0.235294118,5,21176,0.69263,0.14134,0.21616,89.3003,1.2314,1.8302,2.238,1587,0.96,36,0.17922,0.107900217,1.475361096
wrench,tool,nonliving,0.553571,0.615385,0.488372093,0.377777778,18,6132,0.19348,0.14128,0.21599,89.2458,1.2471,1.9089,1.8289,1103,0.833333333,37,0.1364,0.106357895,2.289058269
wrist,body parts,living,0.714286,0.576923,0.325581395,0.177777778,3,8615,0.61207,0.14121,0.21612,89.2864,1.084,1.7999,2.0279,8250,1,44,0.16335,0.098372165,1.899820385
wristwatch,clothing,nonliving,0.436364,0.576923,0.409090909,0.222222222,14,16269,0.641,0.14121,0.21612,89.3204,0.90075,1.2776,1.8895,518,0.333333333,39,0.19974,0.099407722,1.461423508
xylophone,musical instruments,nonliving,0.344828,0.321429,0.384615385,0.224489796,8,10662,0.41123,0.14126,0.21603,89.2984,1.0402,1.6061,1.8183,136,0.782608696,35,0.15421,0.069750305,1.306119497
yacht,vehicle,nonliving,0.371429,0.655172,0.428571429,0.44,12,14366,0.64592,0.14142,0.21605,89.3091,0.86824,1.4211,1.8576,2585,0.333333333,40,0.15511,0.098878888,1.362814027
yam,vegetable,living,0.9,0.444444,0.285714286,0.413793103,6,12403,0.45871,0.14133,0.21607,89.2967,0.9542,1.485,1.921,768,0.25,44,0.16494,0.09543111,1.578565073
yarn,tool,nonliving,0.561404,0.259259,0.386363636,0.311111111,22,24285,0.73094,0.14159,0.21636,89.3478,1.0248,1.3128,1.7632,1177,0.916666667,45,0.15298,0.104145332,1.891028811
yoyo,toys,nonliving,0.58,0.592593,0.321428571,0.206896552,2,10361,0.71382,0.1417,0.21667,89.3916,1.0248,1.4548,1.7762,56,0.916666667,35,0.19074,0.109351344,1.842479668
zebra,mammal,living,0.755102,0.714286,0.464285714,0.586206897,33,15342,0.35671,0.14156,0.21645,89.3518,0.76233,1.4124,2.0047,839,1,40,0.18208,0.094842944,2.514161942
zucchini,vegetable,living,0.833333,0.538462,0.5,0.6,4,8767,0.27222,0.14148,0.21643,89.3004,1.2204,1.5713,2.0712,1471,0.666666667,45,0.17506,0.091496652,2.448586328
